Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.700,AGRICULTURAL SERVICES,0700,United States,07,"농업, 임업 및 어업",AGRICULTURAL SERVICES
$SIC.900,"FISHING, HUNTING & TRAPPING",0900,United States,09,"농업, 임업 및 어업","FISHING, HUNTING & TRAPPING"
$SIC.200,AGRICULTURAL PRODUCTION - LIVESTOCK,0200,United States,02,"농업, 임업 및 어업",AGRICULTURAL PRODUCTION - LIVESTOCK
$SIC.800,FORESTRY,0800,United States,08,"농업, 임업 및 어업",FORESTRY
$SIC.100,AGRICULTURAL PRODUCTION - CROPS,0100,United States,01,"농업, 임업 및 어업",AGRICULTURAL PRODUCTION - CROPS
